Title,Genre,Premiere,Runtime,IMDB Score,Language
The Most Assassinated Woman in the World,Thriller,"September 7, 2018",102,5.3,French
Things Heard & Seen,Horror,"April 29, 2021",121,5.3,English
"To Each, Her Own",Romantic comedy,"June 24, 2018",95,5.3,French
Who Would You Take to a Deserted Island?,Drama,"April 12, 2019",93,5.3,Spanish
XOXO,Drama,"August 26, 2016",92,5.3,English
A Babysitter's Guide to Monster Hunting,Comedy/Fantasy/Family,"October 15, 2020",98,5.4,English
A Christmas Prince: The Royal Baby,Romantic comedy,"December 5, 2019",85,5.4,English
Despite Everything,Comedy,"May 3, 2019",78,5.4,Spanish
Dolly Kitty and Those Twinkling Stars,Drama,"September 18, 2020",120,5.4,Hindi
Freaks: You're One of Us,Supernatural drama,"September 2, 2020",92,5.4,German
"Game Over, Man!",Action/Comedy,"March 23, 2018",101,5.4,English
Guilty,Thriller,"March 6, 2020",119,5.4,Hindi
In the Tall Grass,Horror,"October 4, 2019",101,5.4,English
Madame Claude,Drama,"April 2, 2021",112,5.4,French
Naked,Comedy,"August 11, 2017",96,5.4,English
Outside the Wire,Action/Science fiction,"January 15, 2021",114,5.4,English
The Princess Switch: Switched Again,Romantic comedy,"November 19, 2020",97,5.4,English
Under the Riccione Sun,Romantic teenage drama,"July 1, 2020",101,5.4,Italian
A Very Murray Christmas,Comedy / Musical,"December 4, 2015",56,5.5,English
Been So Long,Musical,"October 26, 2018",100,5.5,English
Dead Kids,Thriller,"December 1, 2019",94,5.5,Filipino
Get the Grift,Comedy,"April 28, 2021",94,5.5,Portuguese
Ghosts of Sugar Land,Documentary,October 16. 2019,21,5.5,English
House Arrest,Comedy,"November 15, 2019",104,5.5,Hindi
Kevin Hart's Guide to Black History,Variety show,"February 8, 2019",63,5.5,English
Love Wedding Repeat,Romantic comedy,"April 10, 2020",100,5.5,English
Mute,Science fiction/Mystery,"February 23, 2018",126,5.5,English
Òlòt?ré,Crime drama,"October 2, 2020",106,5.5,English
Red Dot,Thriller,"February 11, 2021",86,5.5,Swedish
Ride or Die,Psychological thriller drama,"April 15, 2021",142,5.5,Japanese
Step Sisters,Comedy,"January 19, 2018",108,5.5,English
The Cloverfield Paradox,Science fiction,"February 4, 2018",102,5.5,English
The Knight Before Christmas,Romantic comedy,"November 21, 2019",92,5.5,English
The Legacy of a Whitetail Deer Hunter,Adventure/Comedy,"July 6, 2018",83,5.5,English
The Package,Black comedy,"August 10, 2018",94,5.5,English
Unicorn Store,Comedy,"April 5, 2019",92,5.5,English
Wine Country,Comedy,"May 10, 2019",103,5.5,English
Bomb Scared,Black comedy,"October 12, 2017",89,5.6,Spanish/Basque
Brahman Naman,Comedy,"July 7, 2016",95,5.6,English
Double Dad,Comedy-drama,"January 15, 2021",103,5.6,Portuguese
Falling Inn Love,Romantic comedy,"August 29, 2019",97,5.6,English
Hold the Dark,Thriller,"September 28, 2018",125,5.6,English
"Love, Guaranteed",Romantic comedy,"September 3, 2020",91,5.6,English
One-Way to Tomorrow,Romance,"June 19, 2020",90,5.6,Turkish
Sarah Cooper: Everything's Fine,Variety show,"October 27, 2020",49,5.6,English
The Last Laugh,Comedy-drama,"January 11, 2019",98,5.6,English
The Last Paradiso,Romantic drama,"February 5, 2021",107,5.6,Italian
The Midnight Sky,Science fiction,"December 23, 2020",118,5.6,English
The Paramedic,Thriller,"September 16, 2020",94,5.6,Spanish
The Sleepover,Comedy,"August 21, 2020",103,5.6,English
Vampires vs. the Bronx,Horror comedy,"October 2, 2020",86,5.6,English
Why Did You Kill Me?,Documentary,"April 14, 2021",83,5.6,English
A Week Away,Christian musical,"March 26, 2021",97,5.7,English
Caught by a Wave,Romantic teen drama,"March 25, 2021",99,5.7,Italian
Christmas Inheritance,Romantic drama,"December 15, 2017",104,5.7,English
Dad Wanted,Family,"September 11, 2020",102,5.7,Spanish
El Camino Christmas,Dark comedy,"December 8, 2017",89,5.7,English
Eli,Horror,"October 18, 2019",98,5.7,English
Ginny Weds Sunny,Romantic comedy,"October 9, 2020",125,5.7,Hindi
Good Sam,Drama,"May 16, 2019",89,5.7,English
Lionheart,Comedy,"January 4, 2019",94,5.7,English
Little Evil,Comedy horror,"September 1, 2017",94,5.7,English
One Take,Documentary,"June 18, 2020",85,5.7,Thai
"Out of Many, One",Documentary,"December 12, 2018",34,5.7,English
Point Blank,Action,"July 12, 2019",86,5.7,English
Prime Time,Thriller,"April 14, 2021",91,5.7,Polish
The Do-Over,Action comedy,"May 27, 2016",108,5.7,English
The Holiday Calendar,Romantic comedy,"November 2, 2018",95,5.7,English
The Woman in the Window,Psychological thriller,"May 14, 2021",100,5.7,English
The Wrong Missy,Comedy,"May 13, 2020",90,5.7,English
Velvet Buzzsaw,Thriller,"February 1, 2019",112,5.7,English
Yes Day,Comedy,"March 12, 2021",86,5.7,English
15 August,Comedy-drama,"March 29, 2019",124,5.8,Marathi
A California Christmas,Romantic comedy,"December 14, 2020",107,5.8,English
A Christmas Prince,Romantic comedy,"November 17, 2017",92,5.8,English
All Day and a Night,Drama,"May 1, 2020",121,5.8,English
American Son,Drama,"November 1, 2019",90,5.8,English
Barry,Biopic,"December 16, 2016",104,5.8,English
Candy Jar,Comedy,"April 27, 2018",92,5.8,English
Choked: Paisa Bolta Hai,Drama,"June 5, 2020",114,5.8,Hindi
Class of '83,Drama,"August 21, 2020",98,5.8,Hindi
Extinction,Science fiction/Thriller,"July 27, 2018",95,5.8,English
Happy Anniversary,Romantic comedy,"March 30, 2018",78,5.8,English
I Am All Girls,Thriller,"May 14, 2021",107,5.8,English
Let It Snow,Romantic comedy,"November 8, 2019",92,5.8,English
Mascots,Mockumentary,"October 13, 2016",95,5.8,English
Operation Christmas Drop,Romantic comedy,"November 5, 2020",96,5.8,English
Rajma Chawal,Comedy-drama,"November 30, 2018",118,5.8,Hindi
Rich in Love,Romantic comedy,"April 30, 2020",105,5.8,Portuguese
Rising High,Satire,"April 17, 2020",94,5.8,German
Rodney King,One-man show,"April 28, 2017",52,5.8,English
Sierra Burgess Is a Loser,Romantic comedy-drama,"September 7, 2018",105,5.8,English
Small Crimes,Dark comedy,"April 28, 2017",95,5.8,English
Special Correspondents,Satire,"April 29, 2016",100,5.8,English
TAU,Science fiction/Thriller,"June 29, 2018",97,5.8,English
The After Party,Comedy,"August 24, 2018",89,5.8,English
The Babysitter: Killer Queen,Comedy/Horror,"September 10, 2020",102,5.8,English
The Claus Family,Fantasy,"December 7, 2020",96,5.8,Dutch
The Kissing Booth 2,Romantic comedy,"July 24, 2020",131,5.8,English
The Perfect Date,Romantic comedy,"April 12, 2019",89,5.8,English
What We Wanted,Drama,"November 11, 2020",93,5.8,German
You've Got This,Romantic comedy,"October 2, 2020",111,5.8,Spanish
6 Balloons,Drama,"April 6, 2018",75,5.9,English
A Fall from Grace,Thriller,"January 17, 2020",120,5.9,English
Amateur,Sports-drama,"April 6, 2018",96,5.9,English
Army of the Dead,Zombie/Heist,"May 21, 2021",148,5.9,English
Cam,Psychological horror,"November 16, 2018",94,5.9,English
Earthquake Bird,Mystery,"November 15, 2019",107,5.9,English
"Frankenstein's Monster's Monster, Frankenstein",Mockumentary,"July 16, 2019",32,5.9,English
Horse Girl,Drama,"February 7, 2020",104,5.9,English
Notes from Dunblane: Lesson from a School Shooting,Documentary,"September 28, 2018",23,5.9,English
Maska,Romantic comedy,"March 27, 2020",111,5.9,Hindi
The Decline,Thriller,"March 27, 2020",83,5.9,French
The Minimalists: Less Is Now,Documentary,"January 1, 2021",53,5.9,English
The Polka King,Comedy-drama,"January 12, 2018",95,5.9,English
The Prom,Musical,"December 11, 2020",132,5.9,English
True Memoirs of an International Assassin,Action comedy,"November 11, 2016",98,5.9,English
Ultras,Sports film,"March 20, 2020",108,5.9,Italian
Come Sunday,Biopic,"April 13, 2018",106,6,English
Forgive Us Our Debts,Drama,"May 4, 2018",104,6,Italian
iBoy,Science fiction/Thriller,"January 27, 2017",90,6,English
Lovefucked,Drama,"August 9, 2019",106,6,Hindi
Juanita,Drama,"March 8, 2019",90,6,English
Murder Mystery,Comedy mystery,"June 14, 2019",97,6,English
Project Power,Superhero,"August 14, 2020",113,6,English
Rebecca,Romantic thriller,"October 21, 2020",123,6,English
The Christmas Chronicles: Part Two,Christmas comedy,"November 25, 2020",115,6,English
The Kissing Booth,Romantic comedy,"May 11, 2018",105,6,English
The Princess Switch,Romantic comedy,"November 16, 2018",101,6,English
To All the Boys: P.S. I Still Love You,Romantic comedy,"February 12, 2020",102,6,English
War Machine,War-Comedy,"May 26, 2017",122,6,English
6 Underground,Action,"December 13, 2019",128,6.1,English
Between Two Ferns: The Movie,Comedy,"September 20, 2019",82,6.1,English
Burning Sands,Drama,"March 10, 2017",102,6.1,English
Casting JonBenet,Documentary,"April 28, 2017",80,6.1,English
Deidra & Laney Rob a Train,Drama,"March 17, 2017",94,6.1,English
Finding 'Ohana,Family,"January 29, 2021",123,6.1,English
Holidate,Romantic comedy/Holiday,"October 28, 2020",104,6.1,English
Holiday in the Wild,Adventure-romance,"November 1, 2019",85,6.1,English
Hot Girls Wanted,Documentary,"May 29, 2015",84,6.1,English
Like Father,Comedy,"August 3, 2018",103,6.1,English
Lost Girls,Crime drama,"March 13, 2020",95,6.1,English
Otherhood,Comedy,"August 2, 2019",100,6.1,English
Pee-wee's Big Holiday,Adventure,"March 18, 2016",89,6.1,English
Rogue City,Crime drama,"October 30, 2020",116,6.1,French
Sergio,Biopic,"April 17, 2020",118,6.1,English
Stuck Apart,Drama,"January 8, 2021",96,6.1,Turkish
Tersanjung the Movie,Drama,"April 1, 2021",114,6.1,Indonesian
The Killer,Western,"November 10, 2017",99,6.1,Portuguese
The Lovebirds,Romantic comedy,"May 22, 2020",87,6.1,English
The Most Hated Woman in America,Biopic,"March 24, 2017",92,6.1,English
The Perfection,Horror-thriller,"May 24, 2019",90,6.1,English
Tribhanga – Tedhi Medhi Crazy,Drama,"January 15, 2021",95,6.1,Hindi
Unknown Origins,Thriller,"August 28, 2020",96,6.1,Spanish
Work It,Dance comedy,"August 7, 2020",93,6.1,English
Alien Xmas,Stop Motion,"November 20, 2020",42,6.2,English
Baggio: The Divine Ponytail,Biopic,"May 26, 2021",92,6.2,Italian
Below Zero,Drama,"January 29, 2021",106,6.2,Spanish
Citation,Drama,"November 6, 2020",151,6.2,English
Crazy Awesome Teachers,Comedy-drama,"August 17, 2020",101,6.2,Indonesian
Have You Ever Seen Fireflies?,Comedy,"April 9, 2021",114,6.2,Turkish
High Flying Bird,Sports-drama,"February 8, 2019",90,6.2,English
In the Shadow of the Moon,Thriller,"September 27, 2019",115,6.2,English
Lost Bullet,Thriller,"June 19, 2020",92,6.2,French
Octonauts & the Caves of Sac Actun,Animation,"August 14, 2020",72,6.2,English
Offering to the Storm,Thriller,"July 24, 2020",139,6.2,Spanish
Roxanne Roxanne,Biopic,"March 23, 2018",98,6.2,English
Someone Great,Romantic comedy,"April 19, 2019",92,6.2,English
Spenser Confidential,Action comedy,"March 6, 2020",111,6.2,English
The Land of Steady Habits,Drama,"September 14, 2018",98,6.2,English
The Rachel Divide,Documentary,"April 27, 2018",104,6.2,English
Voyuer ,Documentary,"December 1, 2017",95,6.2,English
Win It All,Comedy,"April 7, 2017",88,6.2,English
1922,Horror/Crime drama,"October 20, 2017",102,6.3,English
A Tale of Two Kitchens,Documentary,"May 22, 2019",30,6.3,English/Spanish
Alex Strangelove,Romantic comedy,"June 8, 2018",99,6.3,English
Apostle,Horror-thriller,"October 12, 2018",129,6.3,English
Benji,Family film,"March 16, 2018",87,6.3,English
Bright,Urban fantasy,"December 22, 2017",117,6.3,English
Cargo,Drama/Horror,"May 18, 2018",104,6.3,English
Concrete Cowboy,Drama,"April 2, 2021",111,6.3,English
Feel the Beat,Family/Comedy-drama,"June 19, 2020",107,6.3,English
Get the Goat,Comedy,"March 18, 2021",97,6.3,Portuguese
I Am Not an Easy Man,Romantic comedy,"April 13, 2018",98,6.3,French
June & Kopi,Drama,"January 28, 2021",90,6.3,Indonesian
Music Teacher,Drama,"April 19, 2019",101,6.3,Hindi
Nail Bomber: Manhunt,Documentary,"May 26, 2021",72,6.3,English
Notes for My Son,Drama,"November 24, 2020",83,6.3,Spanish
Polar,Action,"January 25, 2019",118,6.3,English
Porta dos Fundos: The Last Hangover,Comedy,"December 21, 2018",44,6.3,Portuguese
Sand Castle,War,"April 21, 2017",113,6.3,English
Shimmer Lake,Crime thriller,"June 9, 2017",86,6.3,English
Spectral,Science fiction/Action,"December 9, 2016",108,6.3,English
The Babysitter,Teen comedy horror,"October 13, 2017",85,6.3,English
The Discovery,Science fiction/Drama,"March 31, 2017",102,6.3,English
The Forest of Love,Drama,"October 11, 2019",151,6.3,Japanese
The Laundromat,Comedy-drama,"October 18, 2019",98,6.3,English
The Legend of Cocaine Island,Documentary,"March 29, 2019",87,6.3,English
The Outsider,Crime drama,"March 9, 2018",120,6.3,English/Japanese
Time to Hunt,Thriller,"April 23, 2020",134,6.3,Korean
To All the Boys: Always and Forever,Romantic comedy,"February 12, 2021",109,6.3,English
Travis Scott: Look Mom I Can Fly,Documentary,"August 28, 2019",85,6.3,English
Uncorked,Drama,"March 27, 2020",103,6.3,English
Anelka: Misunderstood,Documentary,"August 5, 2020",94,6.4,French
"Ariana Grande: Excuse Me, I Love You",Concert Film,"December 21, 2020",97,6.4,English
ARQ,Science fiction/Thriller,"September 16, 2016",88,6.4,English
Birders,Documentary,"September 25, 2019",37,6.4,English/Spanish
Como Caído del Cielo,Musical comedy,"December 24, 2019",112,6.4,Spanish
First Match,Sports-drama,"March 30, 2018",102,6.4,English
Fractured,Thriller,"October 11, 2019",100,6.4,English
Irreplaceable You,Drama,"February 16, 2018",96,6.4,English
Isi & Ossi,Romantic comedy,"February 14, 2020",113,6.4,German
John Was Trying to Contact Aliens,Documentary,"August 20, 2020",16,6.4,English
Layla Majnun,Romantic drama,"February 11, 2021",119,6.4,Indonesian
Murder to Mercy: The Cyntoia Brown Story,Documentary,"April 29, 2020",97,6.4,English
My Own Man,Documentary,"December 13, 2014",81,6.4,English
Nappily Ever After,Comedy-drama,"September 21, 2018",98,6.4,English
Over the Moon,Animation/Musical/Adventure,"October 23, 2020",95,6.4,English
Street Flow,Drama,"October 12, 2019",96,6.4,French
Strong Island,Documentary,September 15. 2017,107,6.4,English
Sturgill Simpson Presents: Sound & Fury,Animation / Musicial,"September 27, 2019",41,6.4,English
Take Your Pills,Documentary,"March 16, 2018",87,6.4,English
The Heartbreak Club,Comedy-drama,"January 14, 2021",101,6.4,Indonesian
The Mars Generation,Documentary,"May 5, 2017",97,6.4,English
The Occupant,Thriller,"March 25, 2020",103,6.4,Spanish
The Willoughbys,Animation/Comedy/Adventure,"April 22, 2020",90,6.4,English
Triple Frontier,Action-thriller,"March 13, 2019",125,6.4,English
Two Catalonias,Documentary,"September 28, 2018",116,6.4,Spanish/Catalan
Walk. Ride. Rodeo.,Drama,"March 8, 2019",99,6.4,English
Wheelman,Action thriller,"October 20, 2017",82,6.4,English
When We First Met,Romantic comedy,"February 9, 2018",97,6.4,English
A 3 Minute Hug,Documentary,"October 28, 2019",28,6.5,English/Spanish
All the Bright Places,Romance,"February 28, 2020",108,6.5,English
All Together Now,Drama,"August 28, 2020",93,6.5,English
Altered Carbon: Resleeved,Anime/Science fiction,"March 19, 2020",74,6.5,Japanese
Antoine Griezmann: The Making of a Legend,Documentary,"March 21, 2019",60,6.5,French
Canvas ,Animation / Short,"December 11, 2020",9,6.5,English
Chadwick Boseman: Portrait of an Artist,Documentary,"April 17, 2021",21,6.5,English
Chopsticks,Comedy,"May 31, 2019",100,6.5,Hindi
Da 5 Bloods,War drama,"June 12, 2020",155,6.5,English
Dolly Parton: A MusiCares Tribute,Documentary,"April 7, 2021",55,6.5,English
Eurovision Song Contest: The Story of Fire Saga,Musical comedy,"June 26, 2020",123,6.5,English
Gerald's Game,Horror thriller,"September 29, 2017",103,6.5,English
His House,Thriller,"October 30, 2020",93,6.5,English
Jingle Jangle: A Christmas Journey,Family/Christmas musical,"November 13, 2020",119,6.5,English
Life Overtakes Me,Documentary,"June 14, 2019",40,6.5,English/Swedish
Lust Stories,Drama,"June 15, 2018",120,6.5,Hindi
Monster,Drama,"May 7, 2021",98,6.5,English
Mowgli: Legend of the Jungle,Adventure,"December 7, 2018",104,6.5,English
Nobody Knows I'm Here,Drama,"June 24, 2020",91,6.5,Spanish
Nobody Speak: Trials of the Free Press,Documentary,"June 23, 2017",95,6.5,English
Oxygen,Science fiction thriller,"May 12, 2021",101,6.5,French
Set It Up,Romantic comedy,"June 15, 2018",105,6.5,English
The Incredible Jessica James,Comedy,"July 28, 2017",83,6.5,English
Tigertail,Drama,"April 10, 2020",91,6.5,English/Taiwanese/Mandarin
Tramps,Romance,"April 21, 2017",83,6.5,English
What Did Jack Do?,Drama / Short,"January 20, 2020",17,6.5,English
Bad Trip,Hidden-camera prank comedy,"March 26, 2021",86,6.6,English
Bird Box,Psychological thriller,"December 21, 2018",124,6.6,English
Bulbbul,Horror,"June 24, 2020",94,6.6,Hindi
Crazy About Her,Romantic comedy,"February 26, 2021",102,6.6,Spanish
Elisa & Marcela,Romance,"June 7, 2019",118,6.6,Spanish
I'll Sleep When I'm Dead,Documentary,"August 19, 2016",79,6.6,English
I'm Thinking of Ending Things,Psychological thriller,"September 4, 2020",134,6.6,English
It Takes a Lunatic,Documentary,"October 25, 2019",126,6.6,English
Milestone,Drama,"May 7, 2021",98,6.6,Hindi
Recovery Boys,Documentary,"June 29, 2018",89,6.6,English
ReMastered: Who Killed Jam Master Jay?,Documentary,"December 7, 2018",58,6.6,English
Shawn Mendes: In Wonder,Documentary,"November 23, 2020",83,6.6,English
Space Sweepers,Science fiction,"February 5, 2021",136,6.6,Korean
The American Meme,Documentary,"December 7, 2018",98,6.6,English
The Angel,Spy thriller,"September 14, 2018",114,6.6,English
The Crimes That Bind,Crime drama,"August 20, 2020",99,6.6,Spanish
The Red Sea Diving Resort,Spy thriller,"July 31, 2019",130,6.6,English
What Would Sophia Loren Do?,Documentary,"January 15, 2021",32,6.6,English
A Whisker Away,Anime/Fantasy,"June 18, 2020",104,6.7,Japanese
Ajeeb Daastaans,Drama,"April 16, 2021",142,6.7,Hindi
Arlo the Alligator Boy,Animated musical comedy,"April 16, 2021",92,6.7,English
"Bikram: Yogi, Guru, Predator",Documentary,"November 20, 2019",86,6.7,English
Blame!,Anime/Science fiction,"May 20, 2017",106,6.7,Japanese
Blue Miracle,Drama,"May 27, 2021",95,6.7,English
CounterPunch ,Documentary,"June 16, 2017",91,6.7,English
"Crack: Cocaine, Corruption & Conspiracy",Documentary,"January 11, 2021",89,6.7,English
Extraction,Action,"April 24, 2020",117,6.7,English
Giving Voice,Documentary,"December 11, 2020",90,6.7,English
Hillbilly Elegy,Drama,"November 24, 2020",117,6.7,English
Hope Frozen: A Quest to Live Twice,Documentary,"September 15, 2020",80,6.7,Thia/English
Imperial Dreams,Drama,"February 3, 2017",87,6.7,English
Just Another Christmas,Comedy,"December 3, 2020",101,6.7,Portuguese
Little Miss Sumo,Documentary,"October 28, 2019",19,6.7,Japanese
Malcolm & Marie,Romantic drama,"February 5, 2021",106,6.7,English
"Michael Bolton's Big, Sexy, Valentine's Day Special",Variety Show,"February 7, 2017",54,6.7,English
Moxie,Drama,"March 3, 2021",111,6.7,English
Night in Paradise,Drama,"April 9, 2021",132,6.7,Korean
Paper Lives,Drama,"March 12, 2021",97,6.7,Turkish
Parchis: The Documentary,Documentary,"July 10, 2019",106,6.7,Spanish
Tallulah,Comedy-drama,"July 29, 2016",111,6.7,English
The Old Guard,Superhero/Action,"July 10, 2020",124,6.7,English
Tony Robbins: I Am Not Your Guru,Documentary,July 15. 2016,116,6.7,English
Upstarts,Drama,"October 18, 2019",112,6.7,Hindi
22 July,Drama,"October 10, 2018",144,6.8,English
7 años,Drama,"October 28, 2016",76,6.8,Spanish
A Futile and Stupid Gesture,Biographical/Comedy,"January 26, 2018",101,6.8,English
A Life of Speed: The Juan Manuel Fangio Story,Documentary,"March 20, 2020",92,6.8,Spanish
A Love Song for Latasha,Documentary,"September 21, 2020",19,6.8,English
All in My Family,Documentary,"May 3, 2019",39,6.8,English/Mandarin
Always Be My Maybe,Romantic comedy,"May 31, 2019",102,6.8,English
Becoming,Documentary,"May 6, 2020",89,6.8,English
Long Live Brij Mohan,Comedy,"August 3, 2018",105,6.8,Hindi
Calibre,Thriller,"June 29, 2018",101,6.8,English
Death to 2020,Comedy,"December 27, 2020",70,6.8,English
GIMS: On the Record,Documentary,"September 17, 2020",96,6.8,French
Have a Good Trip: Adventures in Psychedelics,Documentary,"May 11, 2020",85,6.8,English
Heroin(e) ,Documentary,"September 12, 2017",39,6.8,English
Mercury 13,Documentary,"April 20, 2018",79,6.8,English
Saving Capitalism,Documentary,"November 21, 2017",73,6.8,English
Serious Men,Drama,"October 2, 2020",114,6.8,Hindi
The Boys in the Band,Drama,"September 30, 2020",121,6.8,English
The Boys in the Band: Something Personal,Aftershow / Interview,"September 30, 2020",28,6.8,English
The Life Ahead,Drama,"November 13, 2020",95,6.8,Italian
The Other Side of the Wind,Drama,"November 2, 2018",122,6.8,English
The Trader,Documentary,"February 9, 2018",23,6.8,Georgian
To the Bone,Drama,"July 14, 2017",107,6.8,English
Tony Parker: The Final Shot,Documentary,"January 6, 2021",98,6.8,French
AK vs AK,Thriller,"December 24, 2020",108,6.9,Hindi
Amanda Knox,Documentary,"September 30, 2016",92,6.9,English
Bigflo & Oil: Hip Hop Frenzy,Documentary,"October 8, 2020",100,6.9,French
Biggie: I Got a Story to Tell,Documentary,"March 1, 2021",97,6.9,English
Cops and Robbers,Animation / Short,"December 28, 2020",7,6.9,English
I Don't Feel at Home in This World Anymore,Drama,"February 24, 2017",96,6.9,English
Laerte-se,Documentary,"May 19, 2017",100,6.9,Portuguese
Mank,Biopic,"December 4, 2020",132,6.9,English
